"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C2_MIC3","CAPC1608N","190mil","2895mil","190mil","2895mil","156.535mil","2895mil","T","360.00","10uF"
"C2_MIC2","CAPC1608N","780mil","1350mil","780mil","1350mil","780mil","1316.535mil","T","90.00","10uF"
"C2_MIC1","CAPC1608N","1185mil","925mil","1185mil","925mil","1218.465mil","925mil","T","180.00","10uF"
"C18_MIC3","CAPC1608N","1085mil","3175mil","1085mil","3175mil","1085mil","3208.465mil","T","270.00","10uF"
"C18_MIC2","CAPC1608N","480mil","2258.465mil","480mil","2258.465mil","446.535mil","2258.465mil","T","360.00","10uF"
"C18_MIC1","CAPC1608N","300mil","625mil","300mil","625mil","300mil","591.535mil","T","90.00","10uF"
"B1","BORNIER","2420mil","3365mil","2420mil","3365mil","2420mil","3296.102mil","T","90.00","Motor"
"B2","BORNIER","2455mil","235mil","2455mil","235mil","2455mil","166.102mil","T","90.00","Motor"
"C6","CAPC1608N","2280mil","2140mil","2280mil","2140mil","2280mil","2106.535mil","T","90.00","Cap"
"C7","CAPC1608N","2925mil","2400mil","2925mil","2400mil","2925mil","2366.535mil","T","90.00","Cap"
"C8","CAPC1608N","1875mil","770mil","1875mil","770mil","1875mil","736.535mil","T","90.00","100nF"
"C9","CAPC1608N","2045mil","2795mil","2045mil","2795mil","2045mil","2828.465mil","T","270.00","100nF"
"C10","CAPC1608N","1585mil","2195mil","1585mil","2195mil","1618.465mil","2195mil","T","180.00","0.1uF"
"C11","CAPC1608N","1905mil","1780mil","1905mil","1780mil","1905mil","1813.465mil","T","270.00","10uF"
"C12","CAPC1608N","1545mil","1445mil","1545mil","1445mil","1511.535mil","1445mil","T","360.00","0.1uF"
"C13","CAPC1608N","1175mil","1795mil","1175mil","1795mil","1175mil","1828.465mil","T","270.00","0.1uF"
"C14","CAPC1608N","1370mil","2265mil","1370mil","2265mil","1336.535mil","2265mil","T","360.00","0.1uF"
"D1","DIODE","2020mil","3215mil","2020mil","3215mil","1935.354mil","3215mil","T","360.00","Diode"
"D2","DIODE","2870mil","3190mil","2870mil","3190mil","2785.354mil","3190mil","T","360.00","Diode"
"D3","DIODE","2015mil","3505mil","2015mil","3505mil","1930.354mil","3505mil","T","360.00","Diode"
"D4","DIODE","2870mil","3480mil","2870mil","3480mil","2785.354mil","3480mil","T","360.00","Diode"
"D5","DIODE","2055mil","125mil","2055mil","125mil","1970.354mil","125mil","T","360.00","Diode"
"D6","DIODE","2855mil","140mil","2855mil","140mil","2770.354mil","140mil","T","360.00","Diode"
"D7","DIODE","2050mil","425mil","2050mil","425mil","1965.354mil","425mil","T","360.00","Diode"
"D8","DIODE","2865mil","430mil","2865mil","430mil","2780.354mil","430mil","T","360.00","Diode"
"D9","LED1608","65.433mil","1185mil","65.433mil","1185mil","65.433mil","1149.567mil","T","90.00","LED green"
"D10","LED1608","80mil","2600mil","80mil","2600mil","80mil","2564.567mil","T","90.00","LED red"
"ICSP","6-pin_Connector","1515mil","3305mil","1515mil","3305mil","1515mil","3055mil","T","90.00","WS6F"
"L298N","L298N","2568.898mil","2165mil","2750mil","2165mil","2468.504mil","2515mil","T","270.00","L298N"
"PIC","44TQFP","1550mil","1825mil","1550mil","1825mil","1774.409mil","1667.52mil","T","90.00","PIC32MX250F128D"
"R3","RESC1608N","1405mil","2395mil","1405mil","2395mil","1405mil","2430.433mil","T","270.00","10KR"
"R4","RESC1608N","1480mil","2230mil","1480mil","2230mil","1480mil","2194.567mil","T","90.00","1KR"
"R6","RESC1608N","180.433mil","1150mil","180.433mil","1150mil","145mil","1150mil","T","360.00","330R"
"R7","RESC1608N","185mil","2565mil","185mil","2565mil","149.567mil","2565mil","T","360.00","330R"
"R8","RESC1608N","2150mil","735mil","2150mil","735mil","2114.567mil","735mil","T","360.00","10K"
"R9","RESC1608N","1785mil","770mil","1785mil","770mil","1785mil","805.433mil","T","270.00","330R"
"R10","RESC1608N","2280mil","2825mil","2280mil","2825mil","2244.567mil","2825mil","T","360.00","10K"
"R11","RESC1608N","1965mil","2795mil","1965mil","2795mil","1965mil","2759.567mil","T","90.00","330R"
"S1","SPST-2","2005mil","835mil","2005mil","835mil","2005mil","935mil","T","270.00","SW-PB"
"S2","SPST-2","2150mil","2725mil","2150mil","2725mil","2150mil","2625mil","T","90.00","SW-PB"
"UART","6-pin_Connector","1525mil","395mil","1525mil","395mil","1525mil","645mil","T","270.00","FT232R"
"AMP_MIC1","AMPLI","645mil","585mil","645mil","585mil","802.48mil","435mil","T","90.00","LM386"
"AMP_MIC2","AMPLI","450mil","1905mil","450mil","1905mil","300mil","1747.52mil","T","360.00","LM386"
"AMP_MIC3","AMPLI","745mil","3220mil","745mil","3220mil","587.52mil","3370mil","T","270.00","LM386"
"C1_MIC1","CAPC1608N","655mil","300mil","655mil","300mil","688.465mil","300mil","T","180.00","10uF"
"C1_MIC2","CAPC1608N","160mil","1910mil","160mil","1910mil","160mil","1876.535mil","T","90.00","10uF"
"C1_MIC3","CAPC1608N","755mil","3490mil","755mil","3490mil","721.535mil","3490mil","T","360.00","10uF"
"C3_MIC1","CAPC1608N","945mil","620mil","945mil","620mil","911.535mil","620mil","T","360.00","10uF"
"C3_MIC2","CAPC1608N","495mil","1605mil","495mil","1605mil","495mil","1638.465mil","T","270.00","10uF"
"C3_MIC3","CAPC1608N","445mil","3175mil","445mil","3175mil","478.465mil","3175mil","T","180.00","10uF"
"C4_MIC1","CAPC1608N","310mil","735mil","310mil","735mil","343.465mil","735mil","T","180.00","220uF"
"C4_MIC2","CAPC1608N","605mil","2215mil","605mil","2215mil","605mil","2181.535mil","T","90.00","220uF"
"C4_MIC3","CAPC1608N","1050mil","3065mil","1050mil","3065mil","1016.535mil","3065mil","T","360.00","220uF"
"C5_MIC1","CAPC1608N","335mil","530mil","335mil","530mil","368.465mil","530mil","T","180.00","10uF"
"C5_MIC2","CAPC1608N","385mil","2223.465mil","385mil","2223.465mil","385mil","2190mil","T","90.00","10uF"
"C5_MIC3","CAPC1608N","1050mil","3270mil","1050mil","3270mil","1016.535mil","3270mil","T","360.00","10uF"
"R1_MIC1","RESC1608N","1150mil","815mil","1150mil","815mil","1150mil","850.433mil","T","270.00","10KR"
"R1_MIC2","RESC1608N","675mil","1390mil","675mil","1390mil","710.433mil","1390mil","T","180.00","10KR"
"R1_MIC3","RESC1608N","225mil","3015mil","225mil","3015mil","225mil","2979.567mil","T","90.00","10KR"
"R2_MIC1","RESC1608N","165mil","735mil","165mil","735mil","200.433mil","735mil","T","180.00","10R"
"R2_MIC3","RESC1608N","1205mil","3065mil","1205mil","3065mil","1169.567mil","3065mil","T","360.00","10R"
"MK1_MIC1","BORNIER","1165mil","555mil","1165mil","555mil","1165mil","486.102mil","T","90.00","Mic"
"MK1_MIC2","BORNIER","435mil","1390mil","435mil","1390mil","366.102mil","1390mil","T","360.00","Mic"
"MK1_MIC3","BORNIER","225mil","3240mil","225mil","3240mil","225mil","3308.898mil","T","270.00","Mic"
"R2_MIC2","RESC1608N","605mil","2355mil","605mil","2355mil","605mil","2319.567mil","T","90.00","10R"
"R5_MIC1","RESC1608N","495mil","880mil","495mil","880mil","495mil","844.567mil","T","90.00","820R"
"R5_MIC2","RESC1608N","755mil","2070mil","755mil","2070mil","719.567mil","2070mil","T","360.00","820R"
"R5_MIC3","RESC1608N","905mil","2925mil","905mil","2925mil","905mil","2960.433mil","T","270.00","820R"
"R14_MIC1","RESC1608N","605mil","915mil","605mil","915mil","569.567mil","915mil","T","360.00","1000R"
"R14_MIC2","RESC1608N","800mil","1970mil","800mil","1970mil","800mil","2005.433mil","T","270.00","1000R"
"R14_MIC3","RESC1608N","790mil","2890mil","790mil","2890mil","825.433mil","2890mil","T","180.00","1000R"
"S3","SPST-2","2940mil","1055mil","2940mil","1055mil","2940mil","1155mil","T","270.00","SW-PB"
"BT1","BAT-2","2940mil","1500mil","2940mil","1500mil","2940mil","1450mil","T","90.00","6V"
"C15","CAPC1608N","2805mil","1330mil","2805mil","1330mil","2805mil","1363.465mil","T","270.00","22uF"
"C16","CAPC1608N","2675mil","1435mil","2675mil","1435mil","2708.465mil","1435mil","T","180.00","10uF"
"C17","CAPC1608N","2240mil","1045mil","2240mil","1045mil","2240mil","1078.465mil","T","270.00","10uF"
"V reg","TO-263-3","2540mil","1082.992mil","2740mil","745mil","2640mil","1302.874mil","T","90.00","LM1117SX-3.3"

